Type,Indicator,Context,Source,
Domain,hopfar[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,koprotas[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,golorta[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,screato[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,bellinor[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,nokata[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,nemoiti[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,mudarist[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,holorta[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,kucart[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,koltorist[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,hokoldar[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,midiatr[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,bibikaro[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,gribata[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,vnestri[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,riontos[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,hostarama[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,artisola[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,boltorg[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,draagotan[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,golofir[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,goloser[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,gortomalo[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,gloritapa[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,bobotal[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,historap[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,jabilen[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,herumot[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,saturapa[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,fortfar[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,dudocilo[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,gongorat[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,gortisir[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,filorta[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,gortova[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,amaniwa[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,nastorlam[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,hilotrapa[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,alebont[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,dortisto[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,nerabis[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,jokolor[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,nokratis[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,machiwo[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,kolotran[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,volotras[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,milopoda[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,zerotask[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,vasitron[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,nopaster[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,dangeti[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,haguret[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,klotrast[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,sundabokun[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,rawaumi[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
Domain,wokoras[.]ru,Gamaredon / PrimitiveBear,hxxps://www[.]microsoft[.]com/security/blog/2022/02/04/actinium-targets-ukrainian-organizations/,
